,countries,cases,todays,deaths,recovered,active
0,World,"15,189,920","+104,837","621,986","9,175,477","5,392,457"
1,USA,"4,047,056","+18,487","145,275","1,890,008","2,011,773"
2,Brazil,"2,178,159","+11,627","81,828","1,465,970","630,361"
3,India,"1,220,433","+26,348","29,531","772,488","418,414"
4,Russia,"789,190","+5,862","12,745","572,053","204,392"
5,South Africa,"381,798",,"5,368","208,144","168,286"
6,Peru,"362,087",,"13,579","248,746","99,762"
7,Mexico,"356,255","+6,859","40,400","227,165","88,690"
8,Chile,"334,683",,"8,722","309,241","16,720"
9,Spain,"313,274",,"28,424",N/A,N/A
10,UK,"296,377",+560,"45,501",N/A,N/A
11,Iran,"281,413","+2,586","14,853","244,840","21,720"
12,Pakistan,"267,428","+1,332","5,677","210,468","51,283"
13,Saudi Arabia,"258,156","+2,331","2,601","210,398","45,157"
14,Italy,"245,032",+280,"35,082","197,628","12,322"
15,Turkey,"221,500",,"5,526","204,011","11,963"
16,Bangladesh,"213,254","+2,744","2,751","117,202","93,301"
17,Colombia,"211,038",,"7,166","98,840","105,032"
18,Germany,"204,153",+263,"9,180","188,600","6,373"
19,France,"177,338",,"30,165","79,734","67,439"
20,Argentina,"136,118",,"2,506","60,531","73,081"
21,Canada,"111,697",,"8,862","97,757","5,078"
22,Qatar,"107,871",+441,163,"104,641","3,067"
23,Iraq,"99,865","+2,706","4,042","67,147","28,676"
24,Indonesia,"91,751","+1,882","4,459","50,255","37,037"
25,Egypt,"89,078",,"4,399","29,473","55,206"
26,Sweden,"78,504",+132,"5,667",N/A,N/A
27,Ecuador,"76,217",,"5,366","32,725","38,126"
28,Kazakhstan,"75,153","+1,685",585,"46,790","27,778"
29,Philippines,"72,269","+1,594","1,843","23,623","46,803"
30,Oman,"71,547","+1,660",349,"47,922","23,276"
31,Belarus,"66,521",+173,513,"59,061","6,947"
32,Belgium,"64,258",+164,"9,805","17,330","37,123"
33,Bolivia,"62,357","+1,366","2,273","19,290","40,794"
34,Kuwait,"61,185",+751,417,"51,520","9,248"
35,Ukraine,"60,995",+829,"1,534","33,172","26,289"
36,UAE,"57,498",,341,"49,964","7,193"
37,Dominican Republic,"56,043","+1,246","1,005","26,466","28,572"
38,Panama,"55,153",,"1,159","30,075","23,919"
39,Israel,"54,663",+621,430,"22,920","31,313"
40,Netherlands,"52,242",+169,"6,139",N/A,N/A
41,Portugal,"49,150",+252,"1,702","33,999","13,449"
42,Singapore,"48,744",+310,27,"44,795","3,922"
43,Poland,"41,162",+380,"1,642","31,139","8,381"
44,Guatemala,"40,229",,"1,531","26,685","12,013"
45,Romania,"40,163","+1,030","2,101","24,663","13,399"
46,Nigeria,"37,801",,805,"15,677","21,319"
47,Bahrain,"37,316",,130,"33,455","3,731"
48,Afghanistan,"35,727",+112,"1,190","23,924","10,613"
49,Armenia,"35,693",+439,678,"24,766","10,249"
50,Honduras,"35,345",+734,988,"4,144","30,213"
51,Switzerland,"33,883",+141,"1,972","30,500","1,411"
52,Ghana,"28,989",,153,"25,331","3,505"
53,Kyrgyzstan,"28,980",+729,"1,111","15,536","12,333"
54,Azerbaijan,"28,633",+391,385,"20,443","7,805"
55,Ireland,"25,802",,"1,753","23,364",685
56,Japan,"25,736",,988,"20,155","4,593"
57,Algeria,"24,278",,"1,100","16,646","6,532"
58,Serbia,"22,031",+426,499,"14,047","7,485"
59,Moldova,"21,798",+356,712,"14,856","6,230"
60,Austria,"19,929",+102,711,"17,849","1,369"
61,Uzbekistan,"18,324",+443,97,"9,554","8,673"
62,Nepal,"18,094",+100,42,"12,684","5,368"
63,Morocco,"17,742",,280,"15,389","2,073"
64,Cameroon,"16,522",,382,"13,728","2,412"
65,Kenya,"14,805",+637,260,"6,757","7,788"
66,Ivory Coast,"14,531",,93,"8,857","5,581"
67,Czechia,"14,448",+124,364,"9,075","5,009"
68,S. Korea,"13,879",+63,297,"12,698",884
69,Denmark,"13,350",+48,611,"12,274",465
70,El Salvador,"12,975",+393,363,"7,119","5,493"
71,Australia,"12,894",+466,128,"8,545","4,221"
72,Venezuela,"12,774",,120,"6,983","5,671"
73,Costa Rica,"11,811",,68,"3,194","8,549"
74,Ethiopia,"11,072",,180,"5,448","5,444"
75,Sudan,"10,992",,693,"5,707","4,592"
76,North Macedonia,"9,412",,432,"4,940","4,040"
77,Palestine,"9,398",+170,64,"1,932","7,402"
78,Bulgaria,"9,254",,313,"4,521","4,420"
79,Senegal,"9,121",+136,177,"6,108","2,836"
80,Bosnia and Herzegovina,"9,115",+328,268,"4,159","4,688"
81,Norway,"9,059",+6,255,"8,138",666
82,Malaysia,"8,831",+16,123,"8,566",142
83,DRC,"8,626",+92,197,"4,790","3,639"
84,Madagascar,"8,162",+614,69,"4,662","3,431"
85,Finland,"7,362",+11,328,"6,920",114
86,Haiti,"7,146",+46,154,"4,095","2,897"
87,Tajikistan,"7,015",+48,58,"5,741","1,216"
88,French Guiana,"6,851",,39,"4,996","1,816"
89,Guinea,"6,652",,41,"5,771",840
90,Gabon,"6,433",,46,"4,034","2,353"
91,Mauritania,"5,985",,155,"3,826","2,004"
92,Luxembourg,"5,725",,111,"4,479","1,135"
93,Djibouti,"5,030",+3,58,"4,904",68
94,CAR,"4,561",,55,"1,411","3,095"
95,Croatia,"4,530",+108,125,"3,278","1,127"
96,Hungary,"4,366",+19,596,"3,283",487
97,Albania,"4,358",+68,120,"2,463","1,775"
98,Greece,"4,048",,197,"1,374","2,477"
99,Paraguay,"3,817",,35,"2,307","1,475"
100,Zambia,"3,583",+197,128,"1,677","1,778"
101,Nicaragua,"3,439",,108,"2,492",839
102,Thailand,"3,261",+6,58,"3,105",98
103,Malawi,"3,149",+104,71,"1,256","1,822"
104,Somalia,"3,135",,93,"1,464","1,578"
105,Equatorial Guinea,"3,071",,51,842,"2,178"
106,Maldives,"3,044",,15,"2,397",632
107,Lebanon,"2,980",,41,"1,577","1,362"
108,Congo,"2,851",,50,666,"2,135"
109,Mayotte,"2,824",,38,"2,614",172
110,Sri Lanka,"2,731",+1,11,"2,064",656
111,Mali,"2,494",+17,123,"1,869",502
112,Cuba,"2,462",+13,87,"2,326",49
113,Montenegro,"2,381",,35,426,"1,920"
114,South Sudan,"2,211",,45,"1,175",991
115,Libya,"2,176",+88,53,489,"1,634"
116,Hong Kong,"2,132",+112,14,"1,344",774
117,Cabo Verde,"2,107",,21,"1,100",986
118,Slovakia,"2,058",+37,28,"1,556",474
119,Estonia,"2,025",+3,69,"1,912",44
120,Slovenia,"2,006",+29,115,"1,648",243
121,Guinea-Bissau,"1,954",,26,803,"1,125"
122,Lithuania,"1,951",+2,80,"1,607",264
123,Eswatini,"1,894",,24,855,"1,015"
124,Iceland,"1,840",+1,10,"1,822",8
125,Zimbabwe,"1,820",,26,488,"1,306"
126,Sierra Leone,"1,727",,66,"1,273",388
127,Rwanda,"1,655",,5,848,802
128,Yemen,"1,640",+11,458,751,431
129,Benin,"1,602",,31,782,789
130,Mozambique,"1,557",+21,11,523,"1,023"
131,New Zealand,"1,555",,22,"1,506",27
132,Namibia,"1,402",+36,7,64,"1,331"
133,Tunisia,"1,394",+5,50,"1,108",236
134,Latvia,"1,197",+4,31,"1,045",121
135,Suriname,"1,131",,21,705,405
136,Jordan,"1,120",+7,11,"1,035",74
137,Liberia,"1,114",+6,70,592,452
138,Niger,"1,113",,69,"1,018",26
139,Uruguay,"1,096",,33,929,134
140,Uganda,"1,075",,,958,117
141,Georgia,"1,073",+24,16,907,150
142,Burkina Faso,"1,066",+1,53,917,96
143,Cyprus,"1,040",,19,847,174
144,Chad,889,,75,803,11
145,Andorra,884,,52,803,29
146,Jamaica,810,+1,10,709,91
147,Togo,790,,15,560,215
148,Angola,779,,30,221,528
149,Sao Tome and Principe,746,,14,588,144
150,Diamond Princess,712,,13,651,48
151,San Marino,699,,42,656,1
152,Malta,679,+2,9,665,5
153,Réunion,639,,3,472,164
154,Channel Islands,583,,47,529,7
155,Syria,561,+21,32,165,364
156,Botswana,522,,1,48,473
157,Tanzania,509,,21,183,305
158,Taiwan,455,,7,440,8
159,Vietnam,408,+7,,365,43
160,Lesotho,359,,6,69,284
161,Mauritius,343,,10,332,1
162,Myanmar,343,+2,6,280,57
163,Guyana,339,,19,163,157
164,Comoros,337,,7,319,11
165,Isle of Man,336,,24,312,0
166,Burundi,328,,1,207,120
167,Mongolia,287,,,213,74
168,Martinique,262,,15,98,149
169,Eritrea,251,,,155,96
170,Cayman Islands,203,,1,201,1
171,Cambodia,197,,,140,57
172,Guadeloupe,195,,14,172,9
173,Bahamas,194,,11,91,92
174,Faeroe Islands,191,,,188,3
175,Gibraltar,182,+2,,180,2
176,Bermuda,153,,9,137,7
177,Brunei ,141,,3,138,0
178,Trinidad and Tobago,139,,8,124,7
179,Gambia,132,+20,5,57,70
180,Aruba,117,,3,100,14
181,Monaco,111,,4,100,7
182,Seychelles,108,,,27,81
